file_path,folder,file_stem,detection_id,original_classification,hybrid_id,reference_name,itemtypes_name,category,model,brand,source,similarity_score,readable_display,vector_reference_id,vector_reference_similarity,itemtypes_similarity
../gdinoOutput/final/1/p1187246330.json,1,p1187246330,1,No Match,Irh72HART2knkr1jxuG7,Shipping Label,PlayStation 3 DualShock 3,Labels,,Sony,vector_database,0.8289186954498291,PlayStation 3 DualShock 3 (Shipping Label),,0.0,0.7671000361442566
../gdinoOutput/final/1/c1186222082.json,1,c1186222082,1,Nintendo Game Boy Color Console,nintendo_dsi,DSi,Nintendo DSi,Video Game Consoles,,Nintendo,itemtypes,0.8715822696685791,Nintendo DSi (DSi),GgWTR9QoWKoUkJ3kr5ga,0.8674424290657043,0.0
../gdinoOutput/final/1/r1172860507.json,1,r1172860507,1,Nintendo DS Lite Console,RA1sLo6TzHsbRjgqZMHq,DS Lite Boxed,Nintendo DSi,Video Game Consoles,,Nintendo,vector_database,0.8637550473213196,Nintendo DSi (DS Lite Boxed),,0.0,0.86155104637146
../gdinoOutput/final/1/x1190805798.json,1,x1190805798,1,Nintendo DS Original Console,svXJEQMnwuDfLPUHUUCi,2DS,Nintendo DS,Video Game Consoles,,Nintendo,vector_database,0.8468328714370728,Nintendo DS (2DS),,0.0,0.8289387226104736
../gdinoOutput/final/1/x1190805798.json,1,x1190805798,2,Nintendo DS Lite Console,RA1sLo6TzHsbRjgqZMHq,DS Lite Boxed,Nintendo DSi,Video Game Consoles,,Nintendo,vector_database,0.8764519095420837,Nintendo DSi (DS Lite Boxed),,0.0,0.8666632175445557
../gdinoOutput/final/1/x1190805798.json,1,x1190805798,3,Nintendo DS Lite Console,hVKSTky2gYJAeDddNOQV,DS Lite,Nintendo DS Lite,Video Game Consoles,Nintendo DS Lite,Nintendo,vector_database,0.8658884763717651,Nintendo DS Lite (DS Lite),,0.0,0.8565958738327026
../gdinoOutput/final/1/r1140105858.json,1,r1140105858,1,No Match,RA1sLo6TzHsbRjgqZMHq,DS Lite Boxed,Nintendo DS Lite,Video Game Consoles,,Nintendo,vector_database,0.8664957284927368,Nintendo DS Lite (DS Lite Boxed),,0.0,0.8500995635986328
../gdinoOutput/final/1/q1183324759.json,1,q1183324759,1,Nintendo DS Original Console,GgWTR9QoWKoUkJ3kr5ga,DSi,Nintendo DSi,Video Game Consoles,,Nintendo,vector_database,0.860234797000885,Nintendo DSi (DSi),,0.0,0.8399325013160706
../gdinoOutput/final/1/r1188366109.json,1,r1188366109,1,Nintendo Game Boy Advance SP Console ,nintendo_ds,DS Original,Nintendo DS,Video Game Consoles,,Nintendo,itemtypes,0.8565881252288818,Nintendo DS (DS Original),RLTezhK4keTvDr70COUX,0.8533706665039062,0.0
../gdinoOutput/final/1/n1184979547.json,1,n1184979547,1,Nintendo DS Lite Console,hVKSTky2gYJAeDddNOQV,DS Lite,Nintendo Switch Lite Console,Video Game Consoles,Nintendo DS Lite,Nintendo,vector_database,0.8763123750686646,Nintendo Switch Lite Console (DS Lite),,0.0,0.8689298629760742
../gdinoOutput/final/1/k1190934472.json,1,k1190934472,1,Nintendo DS Original Console,GgWTR9QoWKoUkJ3kr5ga,DSi,Nintendo DSi,Video Game Consoles,,Nintendo,vector_database,0.8619585037231445,Nintendo DSi (DSi),,0.0,0.8438920974731445
../gdinoOutput/final/1/n1181963058.json,1,n1181963058,1,Nintendo DS Lite Console,GgWTR9QoWKoUkJ3kr5ga,DSi,Nintendo DS Lite,Video Game Consoles,,Nintendo,vector_database,0.8613561987876892,Nintendo DS Lite (DSi),,0.0,0.8555762767791748
../gdinoOutput/final/1/b1191454294.json,1,b1191454294,1,Nintendo DS Lite Console,RA1sLo6TzHsbRjgqZMHq,DS Lite Boxed,Nintendo Switch Lite Console,Video Game Consoles,,Nintendo,vector_database,0.8839124441146851,Nintendo Switch Lite Console (DS Lite Boxed),,0.0,0.8722518086433411
../gdinoOutput/final/1/b1191454294.json,1,b1191454294,2,Nintendo Game Boy Advance SP Console ,wfnfrrKbyvkb7Gy7kZEw,Wii U (WUP-101(01)) (32 GB),Wii U GamePad,Video Game Consoles,WUP-101(01),Nintendo,vector_database,0.8624264001846313,Wii U GamePad (Wii U (WUP-101(01)) (32 GB)),,0.0,0.8457784652709961
../gdinoOutput/final/1/x1144497640.json,1,x1144497640,1,Nintendo DS Original Console,nintendo_ds,DS Lite,Nintendo DS,Video Game Consoles,,Nintendo,itemtypes,0.8643258810043335,Nintendo DS (DS Lite),hVKSTky2gYJAeDddNOQV,0.8570442795753479,0.0
../gdinoOutput/final/1/f1191458213.json,1,f1191458213,1,Nintendo Game Boy Advance SP Console ,KjcYMcDbqpbGV5Klfrj1,New 2DS XL,Nintendo DS Lite,Video Game Consoles,,Nintendo,vector_database,0.862226665019989,Nintendo DS Lite (New 2DS XL),,0.0,0.8349329233169556
../gdinoOutput/final/1/f1191458213.json,1,f1191458213,2,No Match,eDXOwaOyWKtH2nQwCYan,Gameboy Advance,Game Boy Advance,Video Game Consoles,,Nintendo,vector_database,0.8515255451202393,Game Boy Advance (Gameboy Advance),,0.0,0.8425970077514648
../gdinoOutput/final/1/f1191458213.json,1,f1191458213,3,Nintendo DSi Console,GgWTR9QoWKoUkJ3kr5ga,DSi,Nintendo DSi,Video Game Consoles,,Nintendo,vector_database,0.8461648225784302,Nintendo DSi (DSi),,0.0,0.8255718350410461
../gdinoOutput/final/1/f1191458213.json,1,f1191458213,4,Nintendo 3DS Console,lUX9PIFzOObfP7B9eq9E,new 3DS,Nintendo DSi,Video Game Consoles,,Nintendo,vector_database,0.8619652986526489,Nintendo DSi (new 3DS),,0.0,0.8384567499160767
../gdinoOutput/final/1/f1191458213.json,1,f1191458213,5,No Match,Irh72HART2knkr1jxuG7,Shipping Label,Nintendo Switch Dock,Labels,,Nintendo,vector_database,0.8121663331985474,Nintendo Switch Dock (Shipping Label),,0.0,0.7862244248390198
../gdinoOutput/final/1/f1191458213.json,1,f1191458213,6,No Match,svXJEQMnwuDfLPUHUUCi,2DS,Nintendo DS,Video Game Consoles,,Nintendo,vector_database,0.8481805920600891,Nintendo DS (2DS),,0.0,0.8289872407913208
../gdinoOutput/final/1/f1191458213.json,1,f1191458213,7,Nintendo Game Boy Color Console,nintendo_dsi,DS Lite,Nintendo DSi,Video Game Consoles,,Nintendo,itemtypes,0.8684385418891907,Nintendo DSi (DS Lite),hVKSTky2gYJAeDddNOQV,0.8615171909332275,0.0
../gdinoOutput/final/1/f1191458213.json,1,f1191458213,8,No Match,svXJEQMnwuDfLPUHUUCi,2DS,Nintendo 3DS,Video Game Consoles,,Nintendo,vector_database,0.8483753204345703,Nintendo 3DS (2DS),,0.0,0.8258920907974243
../gdinoOutput/final/1/s1119897266.json,1,s1119897266,1,Nintendo DS Original Console,nintendo_ds,DS Original,Nintendo DS,Video Game Consoles,,Nintendo,itemtypes,0.8680704236030579,Nintendo DS (DS Original),RLTezhK4keTvDr70COUX,0.8511197566986084,0.0
../gdinoOutput/final/1/f1152247645.json,1,f1152247645,1,Nintendo DS Lite Console,hVKSTky2gYJAeDddNOQV,DS Lite,Nintendo DSi,Video Game Consoles,Nintendo DS Lite,Nintendo,vector_database,0.8624427914619446,Nintendo DSi (DS Lite),,0.0,0.8615173101425171
../gdinoOutput/final/1/s1191791966.json,1,s1191791966,1,Nintendo DSi Console,GgWTR9QoWKoUkJ3kr5ga,DSi,Nintendo DSi,Video Game Consoles,,Nintendo,vector_database,0.8497995138168335,Nintendo DSi (DSi),,0.0,0.8286970257759094
../gdinoOutput/final/1/x1191598905.json,1,x1191598905,1,Nintendo DS Original Console,GgWTR9QoWKoUkJ3kr5ga,DSi,Nintendo DSi,Video Game Consoles,,Nintendo,vector_database,0.8571534156799316,Nintendo DSi (DSi),,0.0,0.8396278023719788
../gdinoOutput/final/1/q1191599905.json,1,q1191599905,1,Nintendo DS Lite Console,nintendo_ds_lite,DS Lite,Nintendo DS Lite,Video Game Consoles,,Nintendo,itemtypes,0.8730376362800598,Nintendo DS Lite (DS Lite),hVKSTky2gYJAeDddNOQV,0.8676034808158875,0.0
